YEAR,MES,CCAA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2020,1,Andalucia,America,Argentina,1809,19904,11
2020,1,Andalucia,America,Bolivia,52,691,13
2020,1,Andalucia,America,Brasil,3144,27098,8
2020,1,Andalucia,America,Canada,1726,11506,6
2020,1,Andalucia,America,Chile,405,3757,9
2020,1,Andalucia,America,Colombia,1978,25909,13
2020,1,Andalucia,America,Costa Rica,144,1229,8
2020,1,Andalucia,America,Ecuador,202,2771,13
2020,1,Andalucia,America,El Salvador,55,546,9
2020,1,Andalucia,America,Estados Unidos de America,32581,240469,7
2020,1,Andalucia,America,Guatemala,65,694,10
2020,1,Andalucia,America,Honduras,37,234,6
2020,1,Andalucia,America,Mexico,1754,18568,10
2020,1,Andalucia,America,Nicaragua,311,4211,13
2020,1,Andalucia,America,Panama,192,2299,12
2020,1,Andalucia,America,Paraguay,210,1832,8
2020,1,Andalucia,America,Peru,391,4648,11
2020,1,Andalucia,America,Republica Dominicana,53,377,7
2020,1,Andalucia,America,Uruguay,255,2532,9
2020,1,Andalucia,America,Venezuela,433,8672,20
2020,1,Andalucia,Asia,Arabia Saudi,914,6209,6
2020,1,Andalucia,Asia,Azerbaiyan,65,447,6
2020,1,Andalucia,Asia,Bahrein,42,258,6
2020,1,Andalucia,Asia,China,13686,70938,5
2020,1,Andalucia,Asia,Corea,5605,32983,5
2020,1,Andalucia,Asia,Emiratos arabes Unidos,988,7501,7
2020,1,Andalucia,Asia,Filipinas,4666,14842,3
2020,1,Andalucia,Asia,India,1464,7521,5
2020,1,Andalucia,Asia,Indonesia,443,2271,5
2020,1,Andalucia,Asia,Iraq,62,447,7
2020,1,Andalucia,Asia,Iran,158,1218,7
2020,1,Andalucia,Asia,Israel,652,3493,5
2020,1,Andalucia,Asia,Japon,2163,13002,6
2020,1,Andalucia,Asia,Jordania,93,699,7
2020,1,Andalucia,Asia,Kazajstan,146,827,5
2020,1,Andalucia,Asia,Kuwait,217,1779,8
2020,1,Andalucia,Asia,Libano,93,677,7
2020,1,Andalucia,Asia,Malasia,378,2092,5
2020,1,Andalucia,Asia,Myanmar,89,328,3
2020,1,Andalucia,Asia,Oman,57,329,5
2020,1,Andalucia,Asia,Otros paises de Asia,263,1356,5
2020,1,Andalucia,Asia,Pakistan,51,384,7
2020,1,Andalucia,Asia,Qatar,204,1635,8
2020,1,Andalucia,Asia,Singapur,457,3514,7
2020,1,Andalucia,Asia,Sri Lanka,117,585,5
2020,1,Andalucia,Asia,Tailandia,643,5010,7
2020,1,Andalucia,Asia,Vietnam,121,680,5
2020,1,Andalucia,Europa,Albania,92,657,7
2020,1,Andalucia,Europa,Alemania,69112,935132,13
2020,1,Andalucia,Europa,Andorra,389,3017,7
2020,1,Andalucia,Europa,Austria,9704,96217,9
2020,1,Andalucia,Europa,Belarus,191,1269,6
2020,1,Andalucia,Europa,Bulgaria,1695,16014,9
2020,1,Andalucia,Europa,Belgica,27340,211149,7
2020,1,Andalucia,Europa,Chipre,79,577,7
2020,1,Andalucia,Europa,Croacia,781,5221,6
2020,1,Andalucia,Europa,Dinamarca,14174,122413,8
2020,1,Andalucia,Europa,Eslovenia,367,2430,6
2020,1,Andalucia,Europa,Estonia,2355,37679,16
2020,1,Andalucia,Europa,Finlandia,12389,131089,10
2020,1,Andalucia,Europa,Francia,66877,666835,10
2020,1,Andalucia,Europa,Georgia,164,1111,6
2020,1,Andalucia,Europa,Grecia,1308,9087,6
2020,1,Andalucia,Europa,Hungria,2289,16915,7
2020,1,Andalucia,Europa,Irlanda,11801,87628,7
2020,1,Andalucia,Europa,Islandia,174,1858,10
2020,1,Andalucia,Europa,Italia,37104,261816,7
2020,1,Andalucia,Europa,Letonia,1195,11565,9
2020,1,Andalucia,Europa,Liechtenstein,273,4959,18
2020,1,Andalucia,Europa,Lituania,1199,9853,8
2020,1,Andalucia,Europa,Luxemburgo,5398,68944,12
2020,1,Andalucia,Europa,Macedonia del Norte,40,216,5
2020,1,Andalucia,Europa,Malta,593,3744,6
2020,1,Andalucia,Europa,Moldavia,103,1206,11
2020,1,Andalucia,Europa,Noruega,7869,77438,9
2020,1,Andalucia,Europa,Paises Bajos,63551,545937,8
2020,1,Andalucia,Europa,Polonia,12137,92243,7
