AÑO;MES;CCAA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2019;7;Comunidad de Madrid;América;Argentina;12154.0;57124.0;4.7
2019;7;Comunidad de Madrid;América;Bolivia;346.0;1315.0;3.8
2019;7;Comunidad de Madrid;América;Brasil;8591.0;39519.0;4.6
2019;7;Comunidad de Madrid;América;Canadá;3550.0;18815.0;5.3
2019;7;Comunidad de Madrid;América;Chile;3273.0;13092.0;4.0
2019;7;Comunidad de Madrid;América;Colombia;10358.0;51790.0;5.0
2019;7;Comunidad de Madrid;América;Costa Rica;402.0;2050.0;5.1
2019;7;Comunidad de Madrid;América;Cuba;77.0;370.0;4.8
2019;7;Comunidad de Madrid;América;Ecuador;1621.0;7457.0;4.6
2019;7;Comunidad de Madrid;América;El Salvador;263.0;1394.0;5.3
2019;7;Comunidad de Madrid;América;Estados Unidos de América;67420.0;397778.0;5.9
2019;7;Comunidad de Madrid;América;Guatemala;538.0;3658.0;6.8
2019;7;Comunidad de Madrid;América;Honduras;328.0;2394.0;7.3
2019;7;Comunidad de Madrid;América;Jamaica;78.0;374.0;4.8
2019;7;Comunidad de Madrid;América;México;22758.0;113790.0;5.0
2019;7;Comunidad de Madrid;América;Nicaragua;315.0;2426.0;7.7
2019;7;Comunidad de Madrid;América;Panamá;652.0;3260.0;5.0
2019;7;Comunidad de Madrid;América;Paraguay;432.0;2117.0;4.9
2019;7;Comunidad de Madrid;América;Perú;5760.0;26496.0;4.6
2019;7;Comunidad de Madrid;América;República Dominicana;612.0;2999.0;4.9
2019;7;Comunidad de Madrid;América;Uruguay;4200.0;15120.0;3.6
2019;7;Comunidad de Madrid;América;Venezuela;2291.0;14433.0;6.3
2019;7;Comunidad de Madrid;Asia;Arabia Saudí;1871.0;8981.0;4.8
2019;7;Comunidad de Madrid;Asia;Azerbaiyán;62.0;298.0;4.8
2019;7;Comunidad de Madrid;Asia;Bahréin;105.0;452.0;4.3
2019;7;Comunidad de Madrid;Asia;China;20258.0;117496.0;5.8
2019;7;Comunidad de Madrid;Asia;Corea;2919.0;14303.0;4.9
2019;7;Comunidad de Madrid;Asia;Emiratos Árabes Unidos;2476.0;10399.0;4.2
2019;7;Comunidad de Madrid;Asia;Filipinas;823.0;5596.0;6.8
2019;7;Comunidad de Madrid;Asia;India;2798.0;17068.0;6.1
2019;7;Comunidad de Madrid;Asia;Indonesia;421.0;1979.0;4.7
2019;7;Comunidad de Madrid;Asia;Iraq;96.0;317.0;3.3
2019;7;Comunidad de Madrid;Asia;Irán;143.0;758.0;5.3
2019;7;Comunidad de Madrid;Asia;Israel;5130.0;23085.0;4.5
2019;7;Comunidad de Madrid;Asia;Japón;4584.0;19253.0;4.2
2019;7;Comunidad de Madrid;Asia;Jordania;182.0;801.0;4.4
2019;7;Comunidad de Madrid;Asia;Kazajstán;144.0;533.0;3.7
2019;7;Comunidad de Madrid;Asia;Kuwait;154.0;862.0;5.6
2019;7;Comunidad de Madrid;Asia;Líbano;536.0;1983.0;3.7
2019;7;Comunidad de Madrid;Asia;Malasia;257.0;1362.0;5.3
2019;7;Comunidad de Madrid;Asia;Omán;166.0;797.0;4.8
2019;7;Comunidad de Madrid;Asia;Otros países de Asia;470.0;2491.0;5.3
2019;7;Comunidad de Madrid;Asia;Pakistán;102.0;551.0;5.4
2019;7;Comunidad de Madrid;Asia;Qatar;1007.0;3525.0;3.5
2019;7;Comunidad de Madrid;Asia;Singapur;619.0;3405.0;5.5
2019;7;Comunidad de Madrid;Asia;Sri Lanka;55.0;220.0;4.0
2019;7;Comunidad de Madrid;Asia;Tailandia;557.0;3565.0;6.4
2019;7;Comunidad de Madrid;Asia;Vietnam;250.0;1050.0;4.2
2019;7;Comunidad de Madrid;Europa;Albania;104.0;447.0;4.3
2019;7;Comunidad de Madrid;Europa;Alemania;30653.0;186983.0;6.1
2019;7;Comunidad de Madrid;Europa;Andorra;217.0;1150.0;5.3
2019;7;Comunidad de Madrid;Europa;Armenia;106.0;551.0;5.2
2019;7;Comunidad de Madrid;Europa;Austria;21202.0;152654.0;7.2
2019;7;Comunidad de Madrid;Europa;Belarús;148.0;592.0;4.0
2019;7;Comunidad de Madrid;Europa;Bosnia y Herzegovina;45.0;90.0;2.0
2019;7;Comunidad de Madrid;Europa;Bulgaria;1520.0;9424.0;6.2
2019;7;Comunidad de Madrid;Europa;Bélgica;10150.0;47705.0;4.7
2019;7;Comunidad de Madrid;Europa;Chipre;289.0;1532.0;5.3
2019;7;Comunidad de Madrid;Europa;Croacia;476.0;2951.0;6.2
2019;7;Comunidad de Madrid;Europa;Dinamarca;4462.0;33465.0;7.5
2019;7;Comunidad de Madrid;Europa;Eslovenia;305.0;1556.0;5.1
2019;7;Comunidad de Madrid;Europa;Estonia;706.0;4024.0;5.7
2019;7;Comunidad de Madrid;Europa;Finlandia;1248.0;8986.0;7.2
2019;7;Comunidad de Madrid;Europa;Francia;65872.0;421581.0;6.4
2019;7;Comunidad de Madrid;Europa;Georgia;145.0;798.0;5.5
2019;7;Comunidad de Madrid;Europa;Grecia;1659.0;8959.0;5.4
2019;7;Comunidad de Madrid;Europa;Hungría;1215.0;6075.0;5.0
2019;7;Comunidad de Madrid;Europa;Irlanda;7056.0;35986.0;5.1
2019;7;Comunidad de Madrid;Europa;Islandia;318.0;1749.0;5.5
2019;7;Comunidad de Madrid;Europa;Italia;29515.0;156430.0;5.3
2019;7;Comunidad de Madrid;Europa;Letonia;332.0;1826.0;5.5
2019;7;Comunidad de Madrid;Europa;Liechtenstein;1208.0;13530.0;11.2
2019;7;Comunidad de Madrid;Europa;Lituania;799.0;3596.0;4.5
2019;7;Comunidad de Madrid;Europa;Luxemburgo;4846.0;37314.0;7.7
2019;7;Comunidad de Madrid;Europa;Macedonia del Norte;39.0;156.0;4.0
2019;7;Comunidad de Madrid;Europa;Malta;497.0;2584.0;5.2
2019;7;Comunidad de Madrid;Europa;Moldavia;151.0;936.0;6.2
2019;7;Comunidad de Madrid;Europa;Noruega;1507.0;9494.0;6.3
2019;7;Comunidad de Madrid;Europa;Países Bajos;34792.0;222669.0;6.4
2019;7;Comunidad de Madrid;Europa;Polonia;5827.0;30883.0;5.3
2019;7;Comunidad de Madrid;Europa;Portugal;21616.0;103757.0;4.8
2019;7;Comunidad de Madrid;Europa;Reino Unido;57445.0;309950.0;4.7
2019;7;Comunidad de Madrid;Europa;República Checa;1385.0;7202.0;5.2
2019;7;Comunidad de Madrid;Europa;República Eslovaca;533.0;2718.0;5.1
2019;7;Comunidad de Madrid;Europa;Rumanía;5626.0;41070.0;7.3
2019;7;Comunidad de Madrid;Europa;Rusia;4720.0;20296.0;4.3
2019;7;Comunidad de Madrid;Europa;Serbia;367.0;1615.0;4.4
2019;7;Comunidad de Madrid;Europa;Suecia;9708.0;66014.0;6.8
2019;7;Comunidad de Madrid;Europa;Suiza;7427.0;31193.0;4.2
2019;7;Comunidad de Madrid;Europa;Turquía;1133.0;4985.0;4.4
2019;7;Comunidad de Madrid;Europa;Ucrania;2781.0;16964.0;6.1
2019;7;Comunidad de Madrid;Oceanía;Australia;2210.0;12597.0;5.7
2019;7;Comunidad de Madrid;Oceanía;Nueva Zelanda;333.0;2031.0;6.1
2019;7;Comunidad de Madrid;Total;Total;547099.0;3110471.0;5.7
2019;7;Comunidad de Madrid;Total;Total América;146057.0;777957.0;5.3
2019;7;Comunidad de Madrid;Total;Total América del Norte;93728.0;530383.0;5.7
2019;7;Comunidad de Madrid;Total;Total Asia;46301.0;241578.0;5.2
2019;7;Comunidad de Madrid;Total;Total Centroamérica y Caribe;3299.0;19099.0;5.8
2019;7;Comunidad de Madrid;Total;Total Europa;340158.0;2012477.0;5.9
2019;7;Comunidad de Madrid;Total;Total Oceanía;2564.0;14735.0;5.7
2019;7;Comunidad de Madrid;Total;Total Sudamérica;49030.0;228475.0;4.7
2019;7;Comunidad de Madrid;Total;Total África;12019.0;63724.0;5.3
2019;7;Comunidad de Madrid;África;Angola;117.0;480.0;4.1
2019;7;Comunidad de Madrid;África;Argelia;670.0;2613.0;3.9
2019;7;Comunidad de Madrid;África;Camerún;82.0;353.0;4.3
2019;7;Comunidad de Madrid;África;Costa de Marfil;76.0;410.0;5.4
2019;7;Comunidad de Madrid;África;Egipto;782.0;3832.0;4.9
2019;7;Comunidad de Madrid;África;Gabón;53.0;228.0;4.3
2019;7;Comunidad de Madrid;África;Ghana;180.0;990.0;5.5
2019;7;Comunidad de Madrid;África;Guinea Ecuatorial;1208.0;8939.0;7.4
2019;7;Comunidad de Madrid;África;Kenia;174.0;992.0;5.7
2019;7;Comunidad de Madrid;África;Libia;85.0;502.0;5.9
2019;7;Comunidad de Madrid;África;Mali;72.0;475.0;6.6
2019;7;Comunidad de Madrid;África;Marruecos;6283.0;32672.0;5.2
