CCAA;numero_playas;ANIO;CONTINENTE_ORIGEN;PAIS_ORIGEN;numero_agencia_viajes;numero_hosteleria;otras_actividades_turisticas;Turistas;PERNOCTACIONES;gasto_total_exucrsionistas;gasto_total_no_transito;gasto_total_transito
Andalucía;426;2020;Europa;Suiza;5798;98988;84816;49603.00;497033.00;247853.18;36855865.74;5284644.31
Andalucía;426;2020;Europa;Rusia;5798;98988;84816;35044.00;269518.00;0.00;4573862.76;0.00
Andalucía;426;2020;Europa;Reino Unido;5798;98988;84816;756000.00;8101861.00;12916488.25;518770577.86;23518018.55
Andalucía;426;2020;Europa;Portugal;5798;98988;84816;203865.00;1676542.00;47711521.29;52344204.60;1893212.02
Andalucía;426;2020;Europa;Países Bajos;5798;98988;84816;455440.00;4982289.00;1423342.50;202656761.26;11903366.78
Andalucía;426;2020;Europa;Italia;5798;98988;84816;160448.00;1609891.00;119582.90;104846335.02;4094502.33
Andalucía;426;2020;Europa;Irlanda;5798;98988;84816;57323.00;625666.00;457183.46;95419431.15;1618148.69
Andalucía;426;2020;Europa;Francia;5798;98988;84816;586188.00;7039670.00;1048769.72;287707967.33;23228660.94
Andalucía;426;2020;Europa;Bélgica;5798;98988;84816;189986.00;1810790.00;301063.48;149222765.43;3316706.35
Andalucía;426;2020;Europa;Alemania;5798;98988;84816;417751.00;6819662.00;1028541.98;244923423.05;11036361.15
Aragón;0;2020;Europa;Suiza;508;15540;17434;3624.00;31442.00;5949.83;1809563.49;144330.08
Aragón;0;2020;Europa;Reino Unido;508;15540;17434;18156.00;185922.00;83879.50;12749442.19;1784741.59
Aragón;0;2020;Europa;Portugal;508;15540;17434;21041.00;199756.00;132842.65;4700443.49;3790275.28
Aragón;0;2020;Europa;Países Bajos;508;15540;17434;77934.00;858548.00;83879.50;1267252.71;0.00
Aragón;0;2020;Europa;Italia;508;15540;17434;36938.00;302265.00;0.00;7921817.45;732741.25
Aragón;0;2020;Europa;Irlanda;508;15540;17434;5188.00;39194.00;0.00;2274604.39;2480.04
Aragón;0;2020;Europa;Francia;508;15540;17434;194568.00;1477852.00;11458089.99;18544738.13;1940274.70
Aragón;0;2020;Europa;Bélgica;508;15540;17434;23744.00;227823.00;19727.72;1587419.94;0.00
Aragón;0;2020;Europa;Alemania;508;15540;17434;69773.00;935303.00;107418.00;6228333.97;0.00
Canarias;677;2020;Europa;Suiza;2542;33574;26364;58254.00;540864.00;3462767.72;66631125.85;1180862.81
Canarias;677;2020;Europa;Rusia;2542;33574;26364;30104.00;238971.00;0.00;21264085.15;0.00
Canarias;677;2020;Europa;Reino Unido;2542;33574;26364;1114271.00;8927233.00;18692263.64;1307707329.77;958143.04
Canarias;677;2020;Europa;Portugal;2542;33574;26364;10753.00;111759.00;0.00;3814621.92;0.00
Canarias;677;2020;Europa;Países Bajos;2542;33574;26364;206931.00;1881643.00;0.00;267939637.34;0.00
Canarias;677;2020;Europa;Italia;2542;33574;26364;170163.00;2140499.00;583956.28;155797751.54;149165.56
Canarias;677;2020;Europa;Irlanda;2542;33574;26364;85280.00;692893.00;0.00;158790909.48;1335198.40
Canarias;677;2020;Europa;Francia;2542;33574;26364;233405.00;2100646.00;661557.39;223495244.85;3889803.51
Canarias;677;2020;Europa;Bélgica;2542;33574;26364;189008.00;1558417.00;312667.15;213013771.60;1450199.85
Canarias;677;2020;Europa;Alemania;2542;33574;26364;830044.00;8674156.00;64109586.04;1067033645.85;7256038.35
Cantabria;81;2020;Europa;Suiza;288;8380;6480;1868.00;18142.00;0.00;3241811.44;27339.09
Cantabria;81;2020;Europa;Reino Unido;288;8380;6480;14446.00;134078.00;0.00;6953792.03;4169704.08
Cantabria;81;2020;Europa;Portugal;288;8380;6480;4989.00;46467.00;0.00;41808.45;167534.45
Cantabria;81;2020;Europa;Países Bajos;288;8380;6480;22696.00;267654.00;0.00;2471550.24;1637316.86
Cantabria;81;2020;Europa;Italia;288;8380;6480;8399.00;81926.00;0.00;4157596.15;0.00
Cantabria;81;2020;Europa;Irlanda;288;8380;6480;1727.00;14809.00;0.00;906580.65;210973.49
Cantabria;81;2020;Europa;Francia;288;8380;6480;50392.00;609740.00;0.00;22865944.87;0.00
Cantabria;81;2020;Europa;Bélgica;288;8380;6480;6177.00;63264.00;0.00;1945782.55;0.00
Cantabria;81;2020;Europa;Alemania;288;8380;6480;26016.00;371368.00;0.00;8973450.93;0.00
Castilla y León;0;2020;Europa;Suiza;1106;33670;22686;16413.00;86895.00;15537.19;2742719.41;3184352.34
Castilla y León;0;2020;Europa;Rusia;1106;33670;22686;1534.00;12923.00;0.00;1980552.60;0.00
Castilla y León;0;2020;Europa;Reino Unido;1106;33670;22686;38015.00;340404.00;0.00;10575057.08;4358840.80
Castilla y León;0;2020;Europa;Portugal;1106;33670;22686;337179.00;3277424.00;21917063.88;8662410.97;12442853.52
Castilla y León;0;2020;Europa;Países Bajos;1106;33670;22686;151270.00;1863792.00;0.00;3979847.06;161032.12
Castilla y León;0;2020;Europa;Italia;1106;33670;22686;64243.00;451308.00;0.00;12891442.60;27724.41
Castilla y León;0;2020;Europa;Irlanda;1106;33670;22686;14180.00;108205.00;0.00;231015.84;1483050.94
Castilla y León;0;2020;Europa;Francia;1106;33670;22686;275778.00;2511914.00;288532.44;31861601.88;30207149.11
Castilla y León;0;2020;Europa;Bélgica;1106;33670;22686;33003.00;246432.00;84647.91;1742493.03;2918618.48
Castilla y León;0;2020;Europa;Alemania;1106;33670;22686;163868.00;2079936.00;85709.70;8751981.54;2122485.95
Castilla-La Mancha;0;2020;Europa;Suiza;878;21430;15840;3710.00;35520.00;0.00;1283760.83;404503.09
Castilla-La Mancha;0;2020;Europa;Reino Unido;878;21430;15840;21767.00;258048.00;0.00;7469241.00;1363398.16
Castilla-La Mancha;0;2020;Europa;Portugal;878;21430;15840;23276.00;208429.00;0.00;743225.43;0.00
Castilla-La Mancha;0;2020;Europa;Países Bajos;878;21430;15840;113091.00;1391693.00;0.00;1186939.74;0.00
Castilla-La Mancha;0;2020;Europa;Italia;878;21430;15840;40424.00;336878.00;31433.93;3550718.37;70383.84
Castilla-La Mancha;0;2020;Europa;Irlanda;878;21430;15840;6400.00;53128.00;0.00;3035541.91;0.00
Castilla-La Mancha;0;2020;Europa;Francia;878;21430;15840;121820.00;1728822.00;291846.88;11386803.91;3232105.93
Castilla-La Mancha;0;2020;Europa;Bélgica;878;21430;15840;15165.00;158170.00;0.00;2567578.39;0.00
Castilla-La Mancha;0;2020;Europa;Alemania;878;21430;15840;69823.00;1161337.00;0.00;6828063.57;0.00
Cataluña;435;2020;Europa;Suiza;5574;89924;131266;90910.00;677216.00;1194940.17;33552894.16;3619262.31
Cataluña;435;2020;Europa;Rusia;5574;89924;131266;64307.00;423313.00;2347723.92;113687935.11;0.00
Cataluña;435;2020;Europa;Reino Unido;5574;89924;131266;352093.00;2954927.00;9402421.97;208525290.36;3764742.14
Cataluña;435;2020;Europa;Portugal;5574;89924;131266;102751.00;1047708.00;87322.78;18381593.68;4552063.23
Cataluña;435;2020;Europa;Países Bajos;5574;89924;131266;636953.00;7198661.00;530222.05;113249310.29;13289529.12
Cataluña;435;2020;Europa;Italia;5574;89924;131266;379543.00;2873785.00;3931958.57;113439657.87;3570568.09
Cataluña;435;2020;Europa;Irlanda;5574;89924;131266;64931.00;647396.00;889969.37;36827222.55;0.00
Cataluña;435;2020;Europa;Francia;5574;89924;131266;1910475.00;14814060.00;267260917.44;661570905.89;41326935.15
Cataluña;435;2020;Europa;Bélgica;5574;89924;131266;224968.00;2028674.00;1468481.26;72874143.62;2584453.52
Cataluña;435;2020;Europa;Alemania;5574;89924;131266;787815.00;9459068.00;2428537.62;195471896.93;5831568.10
Ceuta;14;2020;Europa;Bélgica;70;612;486;360.00;2460.00;0.00;21704.77;0.00
Comunidad de Madrid;0;2020;Europa;Suiza;5644;60566;105986;35422.00;266708.00;258912.30;31462838.06;1707277.25
Comunidad de Madrid;0;2020;Europa;Rusia;5644;60566;105986;15561.00;92706.00;0.00;23761558.73;793826.08
Comunidad de Madrid;0;2020;Europa;Reino Unido;5644;60566;105986;194115.00;1792857.00;566464.50;91769462.30;1833778.93
Comunidad de Madrid;0;2020;Europa;Portugal;5644;60566;105986;96809.00;760986.00;2660996.80;39270826.47;770756.42
Comunidad de Madrid;0;2020;Europa;Países Bajos;5644;60566;105986;334275.00;4363235.00;0.00;35881881.26;1971197.78
Comunidad de Madrid;0;2020;Europa;Italia;5644;60566;105986;142633.00;1219978.00;432179.59;103896333.93;504918.05
Comunidad de Madrid;0;2020;Europa;Irlanda;5644;60566;105986;22096.00;180424.00;0.00;16888732.03;382065.93
Comunidad de Madrid;0;2020;Europa;Francia;5644;60566;105986;496687.00;6167377.00;431248.66;106831976.64;8720965.78
Comunidad de Madrid;0;2020;Europa;Bélgica;5644;60566;105986;62628.00;534941.00;91705.79;31381382.44;1113502.68
Comunidad de Madrid;0;2020;Europa;Alemania;5644;60566;105986;222640.00;3375084.00;133640.23;64168533.66;3097643.39
Comunidad Foral de Navarra;0;2020;Europa;Suiza;254;6874;5938;1807.00;13550.00;0.00;172915.49;0.00
Comunidad Foral de Navarra;0;2020;Europa;Rusia;254;6874;5938;439.00;3175.00;0.00;1167894.50;0.00
Comunidad Foral de Navarra;0;2020;Europa;Reino Unido;254;6874;5938;8203.00;87053.00;0.00;2021332.29;506492.64
Comunidad Foral de Navarra;0;2020;Europa;Portugal;254;6874;5938;19793.00;269384.00;0.00;1550738.70;0.00
Comunidad Foral de Navarra;0;2020;Europa;Países Bajos;254;6874;5938;31422.00;410931.00;0.00;1922390.53;2304.93
Comunidad Foral de Navarra;0;2020;Europa;Italia;254;6874;5938;35271.00;254300.00;0.00;1300738.79;0.00
